"vis","arrival","participant","distribution","scenario","trial","mu","sigma","nu","tau","mode","duration","response","payoff","expected_payoff","optimal_payoff","expected_over_optimal"
"dot50",FALSE,"p369","d060","s3",0,34.43021452,0.1038757225,-7.673985978,1.969532142,18,22.851156,16,2151,1857.23642,1987.309099,0.934548340232804
"dot50",FALSE,"p369","d036","s3",1,36.11904105,0.1151801181,-3.047447742,2.024402322,20,8.40406,18,2031,1743.631224,1916.901227,0.909609321252732
"dot50",FALSE,"p369","d001","s3",2,24.69325777,0.05070944167,-1.711637833,1.627509204,10,17.246044,9,2078,1601.719763,1949.348718,0.821669180177951
"dot50",FALSE,"p369","d001","s3",3,24.69325777,0.05070944167,-1.711637833,1.627509204,10,29.202621,9,2095,1601.719763,1949.348718,0.821669180177951
"dot50",FALSE,"p369","d106","s3",4,30.73841958,0.08133008529,-2.877003879,1.845427493,15,12.576795,14,2084,1722.178898,1944.729102,0.885562362505336
"dot50",FALSE,"p369","d067","s3",5,24.73388004,0.05088957365,-4.638728117,1.629045038,10,11.809087,8,2070,1839.135072,1967.857475,0.93458753764675
"dot50",FALSE,"p369","d005","s3",6,30.5953308,0.08051555526,-3.729282578,1.840493031,15,8.52968,14,2152,1704.859662,1953.690745,0.872635378123778
"dot50",FALSE,"p369","d028","s3",7,25.23106779,0.05312205266,-2.611692883,1.647756249,10,7.308693,9,2061,1726.972183,1956.265865,0.882790122701446
"dot50",FALSE,"p369","d011","s3",8,29.81992863,0.07617797814,-6.171471516,1.813580113,14,7.343878,13,2093,1751.109256,1975.654759,0.886343754151836
"dot50",FALSE,"p369","d007","s3",9,26.87552804,0.06087373354,-8.041466992,1.70855246,11,32.86514,10,2103,1829.970971,1987.106684,0.920922356980004
"dot50",FALSE,"p369","d064","s3",10,26.2962516,0.05807850447,-5.253670735,1.687322213,11,12.063228,10,2086,1722.70694,1972.16795,0.873509246512195
"dot50",FALSE,"p369","d103","s3",11,23.6703322,0.04628616695,-0.4979821305,1.588472804,9,5.370902,8,2104,1596.81666,1939.178635,0.823450006708639
"dot50",FALSE,"p369","d077","s3",12,31.06900768,0.08322878199,-7.353199691,1.856790637,15,4.419032,14,2101,1764.969936,1984.612655,0.889327159913731
"dot50",FALSE,"p369","d003","s3",13,35.5058922,0.1110034792,-6.965176752,2.004610098,19,14.539043,18,2133,1720.325998,1975.83375,0.870683577502409
"dot50",FALSE,"p369","d065","s3",14,28.21729628,0.06761983934,-0.3461938899,1.756991857,13,10.382054,12,1269,1680.827133,1924.416922,0.873421509541268
"dot50",FALSE,"p369","d147","s3",15,23.53262225,0.0457072036,-5.879481893,1.583163135,8,5.589913,7,1977,1832.637027,1975.045066,0.927896309075917
"dot50",FALSE,"p369","d119","s3",16,32.12164818,0.08943140758,-10.23243075,1.89263377,16,5.17337,16,2134,1582.171011,2008.216034,0.787849008380141
"dot50",FALSE,"p369","d068","s3",17,28.66891662,0.06997620111,-2.15136236,1.773073951,13,5.065063,13,1889,1588.867218,1944.593162,0.817069219952343
"dot50",FALSE,"p369","d027","s3",18,31.40850684,0.08520314336,-4.392339465,1.868406575,16,35.282772,16,1981,1535.805979,1958.032929,0.784361670456871
"dot50",FALSE,"p369","d083","s3",19,21.96648111,0.03939683264,1.5623572,1.521816728,7,6.595288,7,940,1359.662936,1935.484054,0.702492450500964
"dot50",FALSE,"p369","d139","s3",20,21.37567192,0.03714648979,2.912239313,1.498192897,6,4.365406,6,2071,1495.884782,1941.57464,0.77044927925099
"dot50",FALSE,"p369","d008","s3",21,35.59681665,0.1116176129,-11.27908286,2.007554253,19,4.86889,18,1130,1751.999508,2020.856349,0.866958954735679
"dot50",FALSE,"p369","d013","s3",22,29.76194667,0.07585880246,-4.883384214,1.811555741,14,6.634996,14,2152,1584.355911,1966.055942,0.80585494906533
"dot50",FALSE,"p369","d080","s3",23,24.3081905,0.04901893584,-6.040662041,1.612896845,9,8.530535,22,1434,1409.8185,1975.55503,0.713631601545415
"dot50",FALSE,"p369","d063","s3",24,33.02583923,0.09495068585,-2.099230295,1.923024272,17,10.075604,18,2184,1517.132334,1925.082926,0.788086743438293
"dot50",FALSE,"p369","d090","s3",25,33.06869388,0.09521667937,-7.814393041,1.924455787,17,3.945494,17,2176,1579.888934,1989.946178,0.79393551014926
"dot50",FALSE,"p369","d099","s3",26,34.09343189,0.1016961912,-2.273461659,1.958453955,18,4.347251,18,2167,1608.93349,1920.22977,0.837885921329092
"dot50",FALSE,"p369","d099","s3",27,34.09343189,0.1016961912,-2.273461659,1.958453955,18,6.667676,18,2150,1608.93349,1920.22977,0.837885921329092
"dot50",FALSE,"p369","d101","s3",28,22.50181685,0.04149731517,1.809113219,1.542989612,8,7.151883,21,1443,1408.996383,1934.506951,0.728349092915717
